iter	RMSE
126	57.56970775
127	57.56728906
128	57.564083
129	57.54797976
130	57.54524004
131	57.54272937
132	57.54024018
133	57.53550432
134	57.52708848
135	57.52055757
136	57.51659711
137	57.51404771
138	57.50117942
139	57.49813547
140	57.49658406
141	57.48274869
142	57.48169767
143	57.46919248
144	57.46427952
145	57.46245918
146	57.4545683
147	57.44028513
148	57.43146655
149	57.43004522
150	57.42635853
151	57.42099962
152	57.41986909
153	57.41475091
154	57.40046341
155	57.39505533
156	57.38959274
157	57.38208168
158	57.37463035
159	57.37226863
160	57.35891111
161	57.34629868
162	57.34320142
163	57.33914737
164	57.33527807
165	57.3331542
166	57.32864127
167	57.32068826
168	57.31788463
169	57.30657616
170	57.29583481
171	57.28709637
172	57.27818619
173	57.27467072
174	57.2704696
175	57.26559419
176	57.25855219
177	57.24996491
178	57.2407924
179	57.23699919
180	57.23305526
181	57.22886438
182	57.2144757
183	57.21044215
184	57.2026045
185	57.19643419
186	57.19221875
187	57.18277236
188	57.17646209
189	57.17049314
190	57.16037723
191	57.1538884
192	57.15063414
193	57.13665843
194	57.12669263
195	57.11522738
196	57.10429866
197	57.09009276
198	57.08596104
199	57.07484073
200	57.06885689
201	57.06365526
202	57.05384333
203	57.03867753
204	57.02845788
205	57.01978707
206	57.00954455
207	57.00084695
208	56.98918346
209	56.98022855
210	56.9681028
211	56.95897192
212	56.95071084
213	56.93594051
214	56.92326514
215	56.91889781
216	56.91254901
217	56.90459616
218	56.89609535
219	56.88288257
220	56.87470693
221	56.86813972
222	56.85186767
223	56.84493826
224	56.8388682
225	56.82130227
226	56.80241567
227	56.78932021
228	56.77800882
229	56.7644146
230	56.75404749
231	56.74785663
232	56.74083822
233	56.72718546
234	56.72013325
235	56.71425729
236	56.69936036
237	56.69095309
238	56.68430928
239	56.67797803
240	56.67203773
241	56.66464859
242	56.65913374
243	56.6433142
244	56.63787821
245	56.62310794
246	56.61053704
247	56.60530181
248	56.60008264
249	56.59436536
250	56.58975087
251	56.57769855
252	56.57319206
253	56.56907579
254	56.56046046
255	56.54879279
256	56.5365239
257	56.52566674
258	56.52109287
259	56.51721662
260	56.50544234
261	56.49461221
262	56.49078541
263	56.47942327
264	56.46892537
265	56.45652203
266	56.44715901
267	56.43842154
268	56.4307227
269	56.42229776
270	56.41158866
271	56.40432295
272	56.40154047
273	56.39820611
274	56.39066605
275	56.37613426
276	56.36648315
277	56.36234378
278	56.35163436
279	56.33778565
280	56.33529225
281	56.32241413
282	56.31338646
283	56.30329016
284	56.2937836
285	56.28483219
286	56.27253224
287	56.26368113
288	56.26134376
289	56.25466005
290	56.24637717
291	56.23700289
292	56.22544865
293	56.22173357
294	56.21499855
295	56.21280074
296	56.21073586
297	56.2058676
298	56.19989296
299	56.19050422
300	56.17964614
301	56.16799069
302	56.16428235
303	56.15545817
304	56.15213532
305	56.15020075
306	56.14288053
307	56.14106208
308	56.13548208
309	56.12750416
310	56.11983041
311	56.11236651
312	56.10947347
313	56.09860083
314	56.08840649
315	56.07882057
316	56.07153793
317	56.06470954
318	56.05772133
319	56.05313676
320	56.04879085
321	56.04380215
322	56.03508934
323	56.0267825
324	56.01878875
325	56.01159666
326	56.00838575
327	56.0056514
328	55.99798461
329	55.99156777
330	55.98531896
331	55.97684677
332	55.96903513
333	55.96423747
334	55.9601542
335	55.95632762
336	55.95342742
337	55.94611546
338	55.94016278
339	55.93703038
340	55.9338299
341	55.92625045
342	55.91883291
343	55.90853799
344	55.89882399
345	55.89451861
346	55.88892297
347	55.88618309
348	55.8821479
349	55.87529877
350	55.86831994
351	55.86573369
352	55.85637154
353	55.85498566
354	55.84486319
355	55.83923059
356	55.83094786
357	55.82313252
358	55.82067244
359	55.81536108
360	55.80615443
361	55.8037681
362	55.79722379
363	55.78987359
364	55.78322366
365	55.77441045
366	55.7689068
367	55.76282975
368	55.76157825
369	55.75642667
370	55.7496535
371	55.74327348
372	55.73786253
373	55.73415139
374	55.7282801
375	55.72030423
376	55.71367694
377	55.71164265
378	55.7043971
379	55.69829722
380	55.69618733
381	55.69191514
382	55.68890062
383	55.68286982
384	55.68019872
385	55.67339473
386	55.66609391
387	55.66072828
388	55.6587354
389	55.65685427
390	55.65358097
391	55.6500022
392	55.64652702
393	55.64076646
394	55.63687963
395	55.63587271
396	55.62873918
397	55.6271156
398	55.62412756
399	55.61872946
400	55.61712434
401	55.61315542
402	55.60953258
403	55.60677133
404	55.60455842
405	55.59861291
406	55.59407734
407	55.58693703
408	55.58155716
409	55.57732406
410	55.57580805
411	55.57075196
412	55.56742426
413	55.56471503
414	55.55799119
415	55.55655965
416	55.55093941
417	55.54813127
418	55.54612313
419	55.54484756
420	55.53917903
421	55.5365789
422	55.53156746
423	55.52666898
424	55.52159284
425	55.51708598
426	55.51158286
427	55.5072877
428	55.50171634
429	55.4974622
430	55.49557475
431	55.49179698
432	55.48702778
433	55.48478267
434	55.47756399
435	55.47677831
436	55.47426192
437	55.46727003
438	55.46276125
439	55.45784582
440	55.45606015
441	55.45227353
442	55.44933762
443	55.44487294
444	55.44249915
445	55.43823613
446	55.43174357
447	55.42506083
448	55.42255966
449	55.41992903
450	55.41375106
451	55.40851366
452	55.40343133
453	55.39745585
454	55.39426506
455	55.39199855
456	55.38988191
457	55.38408397
458	55.38048966
459	55.37825182
460	55.3774472
461	55.37281453
462	55.36890815
463	55.36562079
464	55.36149965
465	55.35630087
466	55.35140604
467	55.34942314
468	55.34483049
469	55.34203833
470	55.33341711
471	55.33271748
472	55.32770217
473	55.32305315
474	55.31499853
475	55.31083951
476	55.30587429
477	55.30371196
478	55.29809694
479	55.29425603
480	55.28663017
481	55.28004646
482	55.27602959
483	55.27300112
484	55.26992493
485	55.26805056
486	55.26602111
487	55.2614421
488	55.25815215
489	55.25550844
490	55.24803779
491	55.24479588
492	55.24046609
493	55.23750147
494	55.23273271
495	55.23007057
496	55.22736798
497	55.22310393
498	55.22075297
499	55.21969213
500	55.2158856
501	55.21419604
502	55.21154038
503	55.21013834
504	55.20837581
505	55.20325054
506	55.1992365
507	55.19422268
508	55.19202962
509	55.18936139
510	55.18065501
511	55.18000384
512	55.17301562
513	55.16866747
514	55.16522254
515	55.16286689
516	55.16011004
517	55.15439336
518	55.14741006
519	55.14589955
520	55.14463495
521	55.13926306
522	55.13503358
523	55.13214868
524	55.12456595
525	55.12048984
526	55.11725968
527	55.11372978
528	55.10723033
529	55.10457209
530	55.10074207
531	55.09715223
532	55.09273514
533	55.09054349
534	55.08806422
535	55.08094573
536	55.07509816
537	55.0732013
538	55.06686763
539	55.06521524
540	55.06256776
541	55.05794497
542	55.05733072
543	55.0547865
544	55.05302566
545	55.04708901
546	55.04396862
547	55.04339083
548	55.03958236
549	55.03720087
550	55.0318
551	55.02814839
552	55.02667637
553	55.02120287
554	55.01925219
555	55.01767524
556	55.01619138
557	55.00792361
558	55.00497917
559	55.00378133
560	55.00137835
561	54.99362213
562	54.99084567
563	54.98752779
564	54.98445598
565	54.98085932
566	54.97743247
567	54.97184978
568	54.9697553
569	54.96751919
570	54.96582119
571	54.96024563
572	54.95884599
573	54.95474996
574	54.95221829
575	54.94981498
576	54.9425328
577	54.93986709
578	54.93322567
579	54.93087476
580	54.92850599
581	54.92688916
582	54.92424506
583	54.91728675
584	54.91220525
585	54.909653
586	54.90799746
587	54.905277
588	54.90316715
589	54.90101076
590	54.89622806
591	54.8950944
592	54.89276609
593	54.88982777
594	54.8845934
595	54.88238281
596	54.8797664
597	54.87485851
598	54.87187015
599	54.86811898
600	54.86531143
601	54.86402464
602	54.85691992
603	54.85212605
604	54.8500946
605	54.84873429
606	54.84699608
607	54.84458557
608	54.84121803
609	54.83864521
610	54.83761484
611	54.83392676
612	54.83275043
613	54.82991529
614	54.82937798
615	54.82702126
616	54.82388781
617	54.8207269
618	54.81956094
619	54.81831953
620	54.81202027
621	54.81148108
622	54.80902206
623	54.80716276
624	54.80124495
625	54.79920243
626	54.79829496
627	54.79376727
628	54.78828399
629	54.78397949
630	54.7819035
631	54.77995712
632	54.77871181
633	54.77461219
634	54.77251814
635	54.77044769
636	54.76758183
637	54.76406696
638	54.76221234
639	54.75830722
640	54.75763213
641	54.75460166
642	54.75129763
643	54.75043928
644	54.74855992
645	54.74604871
646	54.74282042
647	54.73910777
648	54.7342414
649	54.7288165
650	54.72392827
651	54.72344065
652	54.72262883
653	54.72042148
654	54.71759134
655	54.7168242
656	54.71379312
657	54.71113777
658	54.70839187
659	54.70436584
660	54.70208167
661	54.70028155
662	54.69841827
663	54.69534023
664	54.69422241
665	54.69138646
666	54.6883973
667	54.68591283
668	54.68316249
669	54.68049343
670	54.67745059
671	54.67568993
672	54.67265912
673	54.67016328
674	54.66844341
675	54.66647922
676	54.66483743
677	54.66165478
678	54.65908883
679	54.65610657
680	54.65359323
681	54.65159007
682	54.64912808
683	54.64866071
684	54.64439679
685	54.6439389
686	54.64036371
687	54.63889661
688	54.63651759
689	54.63367106
690	54.63143493
691	54.62873846
692	54.62735994
693	54.6256133
694	54.6244439
695	54.62371801
696	54.62143747
697	54.61963253
698	54.6181377
699	54.61638395
700	54.61418963
701	54.61202525
702	54.6104135
703	54.6094842
704	54.60637089
705	54.60526833
706	54.60382089
707	54.59911766
708	54.59741947
709	54.59533749
710	54.59389771
711	54.59155241
712	54.59053233
713	54.58901931
714	54.58764501
715	54.58614082
716	54.58284224
717	54.5799062
718	54.57866605
719	54.5766262
720	54.5750789
721	54.57302087
722	54.57143843
723	54.56701619
724	54.5657497
725	54.564571
726	54.56031938
727	54.55838797
728	54.5574443
729	54.55563125
730	54.55288432
731	54.55091539
732	54.5496811
733	54.54881623
734	54.54689492
735	54.54261658
736	54.54062332
737	54.53973407
738	54.53909799
739	54.53537334
740	54.53393898
741	54.53277765
742	54.5301608
743	54.52835168
744	54.52439417
745	54.52199342
746	54.52139271
747	54.51891226
748	54.51706582
749	54.51524085
750	54.51395036
751	54.51353332
752	54.51197607
753	54.51020177
754	54.50843561
755	54.50658094
756	54.50541192
757	54.50437219
758	54.50062208
759	54.49953626
760	54.49730469
761	54.49567311
762	54.49450515
763	54.49205013
764	54.48990587
765	54.48831128
766	54.487661
767	54.48582697
768	54.48341711
769	54.48167476
770	54.47996522
771	54.47627644
772	54.47383172
773	54.47248282
774	54.47089861
775	54.46836301
776	54.46686561
777	54.46526422
778	54.46372571
779	54.46162664
780	54.4606597
781	54.45686645
782	54.45481016
783	54.45382026
784	54.45205572
785	54.45012815
786	54.4481679
787	54.4472923
788	54.44573383
789	54.44440241
790	54.44347074
791	54.44130935
792	54.43944541
793	54.43905107
794	54.43762489
795	54.43622444
796	54.43494159
797	54.43438844
798	54.43253142
799	54.42914489
800	54.42740721
801	54.42537165
802	54.42363362
803	54.42219368
804	54.42087879
805	54.42004682
806	54.41880177
807	54.41558111
808	54.41441591
809	54.41266334
810	54.41035371
811	54.40948421
812	54.40834582
813	54.40641622
814	54.40500025
815	54.40281768
816	54.40225164
817	54.40049416
818	54.39962311
819	54.39909546
820	54.39683026
821	54.39520365
822	54.39350453
823	54.39138162
824	54.39100993
825	54.38756391
826	54.38574914
827	54.38493086
828	54.38382863
829	54.38305849
830	54.38106382
831	54.38006461
832	54.37868366
833	54.37733509
834	54.37583696
835	54.37512478
836	54.37460976
837	54.37413195
838	54.37090708
839	54.36787932
840	54.36743015
841	54.36474702
842	54.36311501
843	54.36184522
844	54.36057813
845	54.3589339
846	54.35761501
847	54.35584141
848	54.35378646
849	54.35329922
850	54.35206687
851	54.35085048
852	54.34964777
853	54.34744771
854	54.34711395
855	54.34602491
856	54.34569482
857	54.34523451
858	54.34383866
859	54.34352816
860	54.34269222
861	54.3414204
862	54.33958452
863	54.33808708
864	54.33551208
865	54.33463885
866	54.33339797
867	54.33096899
868	54.32813727
869	54.32710994
870	54.32581733
871	54.32313108
872	54.32143149
873	54.32062035
874	54.31770819
875	54.3165771
876	54.3158103
877	54.3145961
878	54.3129924
879	54.31182955
880	54.31033137
881	54.30960409
882	54.30836149
883	54.30709845
884	54.30666347
885	54.30465526
886	54.30314456
887	54.30211376
888	54.30132589
889	54.29999236
890	54.29806366
891	54.29692308
892	54.29651194
893	54.29502696
894	54.29391877
895	54.29235084
896	54.2913045
897	54.28991014
898	54.2881864
899	54.28672183
900	54.28442937
901	54.2829571
902	54.28154605
903	54.28078321
904	54.2800679
905	54.27878775
906	54.27782636
907	54.27699333
908	54.27631847
909	54.2738353
910	54.27254227
911	54.2714583
912	54.27106931
913	54.26996881
914	54.26893221
915	54.2682672
916	54.26605036
917	54.26484491
918	54.263927
919	54.26215343
920	54.26080515
921	54.26005709
922	54.2584177
923	54.25734357
924	54.25471906
925	54.25361433
926	54.25241803
927	54.25078369
928	54.25033548
929	54.24996771
930	54.24795495
931	54.2468151
932	54.24554116
933	54.24452241
934	54.24317763
935	54.24188818
936	54.24106823
937	54.23993237
938	54.23964247
939	54.23840913
940	54.2372054
941	54.23373673
942	54.23331929
943	54.23204196
944	54.23125507
945	54.2296669
946	54.22834992
947	54.22646343
948	54.22524551
949	54.22417565
950	54.22321282
951	54.22232592
952	54.22039327
953	54.21809259
954	54.2176045
955	54.21670498
956	54.21549498
957	54.21435718
958	54.21334617
959	54.21251019
960	54.21216227
961	54.21153307
962	54.21074524
963	54.20993493
964	54.20902507
965	54.20824406
966	54.20731759
967	54.20633984
968	54.20567156
969	54.20529361
970	54.20394665
971	54.20287484
972	54.20231595
973	54.20198717
974	54.19992031
975	54.19797625
976	54.19772414
977	54.19658826
978	54.1943441
979	54.19110775
980	54.18937739
981	54.18856041
982	54.18674374
983	54.18607795
984	54.18530499
985	54.18423205
986	54.18234518
987	54.18109507
988	54.18054445
989	54.17967141
990	54.17857509
991	54.17686619
992	54.17626055
993	54.17541245
994	54.1746199
995	54.17364462
996	54.17298081
997	54.17240633
998	54.17208564
999	54.17146162
