iter	RMSE
0	125.3203516
1	121.3855344
2	117.6182008
3	114.0409438
4	110.7159076
5	107.4715983
6	104.4253137
7	101.5512289
8	98.9073419
9	96.25984814
10	93.84627845
11	91.53917932
12	89.38426192
13	87.30800187
14	85.34357945
15	83.55750314
16	81.87238588
17	80.27335832
18	78.73205515
19	77.33277532
20	75.98562307
21	74.76274587
22	73.60488715
23	72.50481185
24	71.48593676
25	70.53168248
26	69.67554329
27	68.872053
28	68.09193016
29	67.39777892
30	66.72224143
31	66.10540227
32	65.47704361
33	64.95093349
34	64.44246852
35	64.00138788
36	63.57982747
37	63.17155328
38	62.78960097
39	62.44140203
40	62.09879268
41	61.78877233
42	61.49158076
43	61.22509689
44	60.97764708
45	60.75519591
46	60.55594658
47	60.35692891
48	60.16974083
49	59.99330216
50	59.83961482
51	59.70394846
52	59.57614263
53	59.4652432
54	59.34812189
55	59.24173172
56	59.1508419
57	59.0442493
58	58.95904222
59	58.88657995
60	58.8081436
61	58.73475844
62	58.66880886
63	58.60419482
64	58.55493561
65	58.50212376
66	58.46191176
67	58.41887686
68	58.37169945
69	58.33443123
70	58.30034213
71	58.2598232
72	58.21132618
73	58.17828287
74	58.15516248
75	58.13425083
76	58.11111861
77	58.08764434
78	58.07083553
79	58.05386586
80	58.03399521
81	58.01102869
82	57.99191893
83	57.97732176
84	57.96264806
85	57.94293273
86	57.92803339
87	57.92072395
88	57.90710913
89	57.8949056
90	57.87435089
91	57.86375842
92	57.85095557
93	57.83782486
94	57.826478
95	57.81805077
96	57.81175939
97	57.80010144
98	57.78260621
99	57.77468847
100	57.76461377
101	57.74146768
102	57.73327684
103	57.7268298
104	57.7192983
105	57.70986344
106	57.70493931
107	57.70263767
108	57.69599152
109	57.69137193
110	57.68455988
111	57.68014637
112	57.67399132
113	57.66973885
114	57.66513587
115	57.65633263
116	57.65181095
117	57.64859246
118	57.64470111
119	57.62848949
120	57.62174223
121	57.60181239
122	57.59748799
123	57.59042226
124	57.58224812
125	57.57730223
